team,total_cards
Arsenal,70
"Aston Villa",76
Bournemouth,100
Brentford,63
Brighton,75
Chelsea,100
"Crystal Palace",79
Everton,82
Fulham,82
Ipswich,89
Leicester,87
Liverpool,67
"Man City",59
"Man United",86
Newcastle,69
"Nott'm Forest",87
Southampton,92
Tottenham,71
"West Ham",81
Wolves,76
