team,total_fouls
Arsenal,400
"Aston Villa",406
Bournemouth,514
Brentford,319
Brighton,438
Chelsea,436
"Crystal Palace",417
Everton,430
Fulham,432
Ipswich,430
Leicester,420
Liverpool,430
"Man City",287
"Man United",413
Newcastle,394
"Nott'm Forest",391
Southampton,459
Tottenham,446
"West Ham",443
Wolves,480
